[[心理療法とは何か]],症状や生活上の困難に対して対話・行動・関係性を通じて変化を促す治療法の全体像を整理する,content/04_臨床実践・治療/心理療法
[[支持的精神療法とは何か]],安心感・現実検討・問題解決・自己効力感を支える基本的心理療法を解説する,content/04_臨床実践・治療/心理療法
[[認知行動療法CBTとは何か]],認知・感情・行動の相互作用を理解し症状維持パターンを変える治療法を整理する,content/04_臨床実践・治療/心理療法
[[認知再構成法とは何か]],自動思考や認知の偏りを検討し柔軟な考え方を育てる技法を解説する,content/04_臨床実践・治療/心理療法
[[行動活性化とは何か]],活動量と報酬経験を増やすことで抑うつ症状を改善する治療原理を整理する,content/04_臨床実践・治療/心理療法
[[曝露療法とは何か]],恐怖対象や不安状況に段階的に向き合い回避を減らす治療法を解説する,content/04_臨床実践・治療/心理療法
[[曝露反応妨害法ERPとは何か]],強迫症において不安を誘発する刺激へ曝露し強迫行為を控える治療を整理する,content/04_臨床実践・治療/心理療法
[[パニック症のCBTでは何を行うのか]],身体感覚への恐怖や回避行動を修正する心理教育・曝露・認知再構成を解説する,content/04_臨床実践・治療/心理療法
[[社交不安症のCBTでは何を行うのか]],自己注目・安全行動・否定的予測を扱い対人場面への適応を促す方法を整理する,content/04_臨床実践・治療/心理療法
[[うつ病のCBTでは何を行うのか]],活動低下と否定的認知の悪循環を行動活性化や認知再構成で修正する流れを解説する,content/04_臨床実践・治療/心理療法
[[不眠症の認知行動療法CBT-Iとは何か]],睡眠衛生・刺激制御・睡眠制限・認知介入を組み合わせる治療を整理する,content/04_臨床実践・治療/心理療法
[[弁証法的行動療法DBTとは何か]],感情調整困難や自傷行動に対してマインドフルネス・苦痛耐性・対人スキルを扱う治療を解説する,content/04_臨床実践・治療/心理療法
[[DBTのマインドフルネススキルとは何か]],今この瞬間の体験に気づき評価せず観察するスキルを治療場面で整理する,content/04_臨床実践・治療/心理療法
[[DBTの苦痛耐性スキルとは何か]],衝動行動を避けながら危機を乗り切るための具体的スキルを解説する,content/04_臨床実践・治療/心理療法
[[DBTの感情調整スキルとは何か]],感情を理解し脆弱性を下げ適応的行動を選ぶための方法を整理する,content/04_臨床実践・治療/心理療法
[[DBTの対人関係スキルとは何か]],自己主張・関係維持・自尊感情を両立する対人スキルを解説する,content/04_臨床実践・治療/心理療法
[[アクセプタンス&コミットメント・セラピーACTとは何か]],体験の回避を減らし価値に沿った行動を増やす心理療法を整理する,content/04_臨床実践・治療/心理療法
[[ACTにおける心理的柔軟性とは何か]],思考や感情に巻き込まれず価値に基づいて行動する力を解説する,content/04_臨床実践・治療/心理療法
[[マインドフルネス認知療法MBCTとは何か]],再発性うつ病に対して思考との距離を取り再発予防を目指す治療を整理する,content/04_臨床実践・治療/心理療法
[[マインドフルネスストレス低減法MBSRとは何か]],瞑想や身体感覚への注意を用いてストレス反応を扱うプログラムを解説する,content/04_臨床実践・治療/心理療法
[[対人関係療法IPTとは何か]],悲哀・役割変化・対人葛藤・対人欠如に焦点を当てる心理療法を整理する,content/04_臨床実践・治療/心理療法
[[精神力動的精神療法とは何か]],無意識的葛藤・防衛・転移を扱い自己理解と対人パターンの変化を促す治療を解説する,content/04_臨床実践・治療/心理療法
[[短期力動的精神療法とは何か]],焦点化された葛藤や対人パターンを限られた期間で扱う治療を整理する,content/04_臨床実践・治療/心理療法
[[メンタライゼーションに基づく治療MBTとは何か]],自他の心的状態を理解する力を育てる治療法を解説する,content/04_臨床実践・治療/心理療法
