"[[過食とは何か]]","制御困難な食行動や情動調整としての摂食を症候学的に整理する","content/03_精神医学/症候学"
"[[心気症状とは何か]]","身体疾患への過度な心配や確信が持続する症状を整理する","content/03_精神医学/症候学"
"[[性別違和とは何か]]","出生時に割り当てられた性と自己の性同一性の不一致による苦痛を整理する","content/03_精神医学/症候学"
"[[病識欠如とは何か]]","自分の症状や疾患を認識できない状態を精神病性障害や認知症との関連から解説する","content/03_精神医学/症候学"
"[[拒薬とは何か]]","服薬を拒む背景を病識・副作用・不信感・価値観から整理する","content/03_精神医学/症候学"
"[[アカシジアとは何か]]","じっとしていられない内的焦燥を伴う薬剤性症状を解説する","content/03_精神医学/症候学"
"[[ジストニアとは何か]]","筋緊張異常による不随意な姿勢や運動を薬剤性副作用として整理する","content/03_精神医学/症候学"
"[[パーキンソニズムとは何か]]","振戦・筋強剛・寡動などを抗精神病薬副作用や神経疾患との関連で解説する","content/03_精神医学/症候学"
"[[遅発性ジスキネジアとは何か]]","長期抗精神病薬使用後に生じうる不随意運動を整理する","content/03_精神医学/症候学"
"[[悪性症候群ではどのような症状が出るのか]]","発熱・筋強剛・自律神経症状・意識障害を伴う重篤な薬剤性症候群を解説する","content/03_精神医学/症候学"
"[[セロトニン症候群ではどのような症状が出るのか]]","精神症状・自律神経症状・神経筋症状の三徴から重症度を整理する","content/03_精神医学/症候学"
"[[離脱症状とは何か]]","物質や薬剤の中止・減量後に生じる身体・精神症状を解説する","content/03_精神医学/症候学"
"[[中毒症状とは何か]]","物質使用により意識・認知・感情・行動が変化する状態を整理する","content/03_精神医学/症候学"
"[[フレイルと精神症状はどう関係するのか]]","高齢者の身体的脆弱性と抑うつ・認知機能低下・せん妄の関係を解説する","content/03_精神医学/症候学"
"[[精神症状の横断的評価とは何か]]","診断名に先立ち症状の種類・程度・経過・リスクを整理する方法を解説する","content/03_精神医学/症候学"
"[[統合失調症とは何か]]","幻覚や妄想だけでなく陰性症状や認知機能障害を含む代表的精神病性障害を整理する","content/03_精神医学/疾患・症候群"
"[[統合失調症の陽性症状とは何か]]","幻覚・妄想・思考障害など現実検討の障害として現れる症状群を解説する","content/03_精神医学/疾患・症候群"
"[[統合失調症の陰性症状とは何か]]","感情鈍麻・意欲低下・社会的引きこもりなど機能低下に直結する症状群を整理する","content/03_精神医学/疾患・症候群"
